RA,NOME,REGIONAl,CodRegional,Marca,CodMarca,Campus,CodCampus
13134693,Yara,Nordeste,2,IES SE,6,Campus SE 3,40
13134694,Isa,Nordeste,2,IES AL,7,Campus AL 3,41
13134695,Ingrid,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13134696,Clarissa,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13134697,Angelina,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13134698,Milene,Sudeste,4,IES SP,11,Campus SP 3,45
13134699,NatÃ¡lia,Sudeste,4,IES ES,12,Campus ES 3,46
13134700,FlÃ´r,Sudeste,4,IES RJ,13,Campus RJ 3,47
13134701,Gabriel,Sudeste,4,IES MG,14,Campus MG 3,48
13134702,Lucas,Sul,5,IES RS,15,Campus RS 3,49
13134703,Heitor,Sul,5,IES SC,16,Campus SC 3,50
13134704,Samuel,Sul,5,IES PR,17,Campus PR 3,51
13134705,Theo,Norte,1,IES AM,1,Campus AM 4,52
13134706,Felipe,Norte,1,IES RR,2,Campus RR 4,53
13134707,JoÃ£o Pedro,Norte,1,IES PA,3,Campus PA 4,54
13134708,Daniel,Nordeste,2,IES BA,4,Campus BA 4,55
13134709,Joaquim,Nordeste,2,IES RN,5,Campus RN 4,56
13134710,Caio,Nordeste,2,IES SE,6,Campus SE 4,57
13134711,Bryan,Nordeste,2,IES AL,7,Campus AL 4,58
13134712,AntÃ´nio,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13134713,JoÃ£o Vitor,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13134714,Davi Lucas,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13134715,Thomas,Sudeste,4,IES SP,11,Campus SP 4,62
13134716,Emanuel,Sudeste,4,IES ES,12,Campus ES 4,63
13134717,Enrico,Sudeste,4,IES RJ,13,Campus RJ 4,64
13134718,Miguel,Sudeste,4,IES SP,11,Campus SP 1,11
13134719,Lorenzo,Sudeste,4,IES ES,12,Campus ES 1,12
13134720,Theo,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134721,Bryan,Sudeste,4,IES MG,14,Campus MG 1,14
13134722,Benjamim,Sul,5,IES RS,15,Campus RS 1,15
13134723,Gabriel,Sul,5,IES SC,16,Campus SC 1,16
13134724,Henrique,Sul,5,IES PR,17,Campus PR 1,17
13134725,Lucas,Norte,1,IES AM,1,Campus AM 2,18
13134726,Mateus,Norte,1,IES RR,2,Campus RR 2,19
13134727,Caio,Norte,1,IES PA,3,Campus PA 2,20
13134728,David,Nordeste,2,IES BA,4,Campus BA 2,21
13134729,Yuri,Nordeste,2,IES RN,5,Campus RN 2,22
13134730,Samuel,Nordeste,2,IES SE,6,Campus SE 2,23
13134731,Victor,Nordeste,2,IES AL,7,Campus AL 2,24
13134732,Hugo,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134733,TomÃ¡s,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134734,Augusto,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134735,Levi,Sudeste,4,IES SP,11,Campus SP 2,28
13134736,Kevin,Sudeste,4,IES ES,12,Campus ES 2,29
13134737,Vinicios,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134738,Kelvin,Sudeste,4,IES SP,11,Campus SP 1,11
13134739,Renan,Sudeste,4,IES ES,12,Campus ES 1,12
13134740,Francisco,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134741,ApÃ³lo,Sudeste,4,IES MG,14,Campus MG 1,14
13134742,Jonathan,Sul,5,IES RS,15,Campus RS 1,15
13134743,OctÃ¡vio,Sul,5,IES SC,16,Campus SC 1,16
13134744,Manuel,Sul,5,IES PR,17,Campus PR 1,17
13134745,Leandro,Norte,1,IES AM,1,Campus AM 2,18
13134746,Ricardo,Norte,1,IES RR,2,Campus RR 2,19
13134747,Wilian,Norte,1,IES PA,3,Campus PA 2,20
13134748,Ezequiel,Nordeste,2,IES BA,4,Campus BA 2,21
13134749,FabrÃ­cio,Nordeste,2,IES RN,5,Campus RN 2,22
13134750,Alexander,Nordeste,2,IES SE,6,Campus SE 2,23
13134751,Renato,Nordeste,2,IES AL,7,Campus AL 2,24
13134752,Edgar,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134753,Michael,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134754,Sr. Luiz Gustavo Nascimento,Norte,1,IES AM,1,Campus AM 1,1
13134755,Emanuella Pinto,Norte,1,IES RR,2,Campus RR 1,2
13134756,Sra. Giovanna Pires,Norte,1,IES PA,3,Campus PA 1,3
13134757,Danilo Alves,Nordeste,2,IES BA,4,Campus BA 1,4
13134758,Enzo Azevedo,Nordeste,2,IES RN,5,Campus RN 1,5
13134759,Emanuelly Carvalho,Nordeste,2,IES SE,6,Campus SE 1,6
13134760,Bruno Rocha,Nordeste,2,IES AL,7,Campus AL 1,7
13134761,Mariane Carvalho,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13134762,Beatriz Viana,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13134763,Eduarda Campos,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13134764,Sr. Rodrigo Moura,Sudeste,4,IES SP,11,Campus SP 1,11
13134765,Dr. Thales Ribeiro,Sudeste,4,IES ES,12,Campus ES 1,12
13134766,Olivia Silveira,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134767,Dra. Isabel Carvalho,Sudeste,4,IES MG,14,Campus MG 1,14
13134768,Benício da Luz,Sul,5,IES RS,15,Campus RS 1,15
13134769,Mirella Mendes,Sul,5,IES SC,16,Campus SC 1,16
13134770,Pedro Henrique Fogaça,Sul,5,IES PR,17,Campus PR 1,17
13134771,Pedro Henrique Sales,Norte,1,IES AM,1,Campus AM 2,18
13134772,Renan Freitas,Norte,1,IES RR,2,Campus RR 2,19
13134773,Renan Porto,Norte,1,IES PA,3,Campus PA 2,20
13134774,Maysa Pires,Nordeste,2,IES BA,4,Campus BA 2,21
13134775,Luana Rodrigues,Nordeste,2,IES RN,5,Campus RN 2,22
13134776,Srta. Maysa Campos,Nordeste,2,IES SE,6,Campus SE 2,23
13134777,Bárbara da Costa,Nordeste,2,IES AL,7,Campus AL 2,24
13134778,Nicolas Azevedo,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134779,Leandro Castro,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134780,Luiz Miguel Gomes,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134781,Ana Clara Santos,Sudeste,4,IES SP,11,Campus SP 2,28
13134782,Rafael Farias,Sudeste,4,IES ES,12,Campus ES 2,29
13134783,Emanuelly Viana,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134784,Luiz Miguel Gomes,Sudeste,4,IES MG,14,Campus MG 2,31
13134785,Ian Moreira,Sul,5,IES RS,15,Campus RS 2,32
13134786,Joana Rodrigues,Sul,5,IES SC,16,Campus SC 2,33
13134787,Srta. Marina Caldeira,Sul,5,IES PR,17,Campus PR 2,34
13134788,Murilo Jesus,Norte,1,IES AM,1,Campus AM 3,35
13134789,Maitê Lima,Norte,1,IES RR,2,Campus RR 3,36
13134790,Laura da Conceição,Norte,1,IES PA,3,Campus PA 3,37
13134791,Srta. Stephany Farias,Nordeste,2,IES BA,4,Campus BA 3,38
13134792,Arthur Azevedo,Nordeste,2,IES RN,5,Campus RN 3,39
13134793,Valentina Vieira,Nordeste,2,IES SE,6,Campus SE 3,40
13134794,Maria Alice Araújo,Nordeste,2,IES AL,7,Campus AL 3,41
13134795,João Miguel Moreira,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13134796,Luiz Otávio Silva,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13134797,Daniel da Rocha,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13134798,Calebe Rezende,Sudeste,4,IES SP,11,Campus SP 3,45
13134799,Natália Santos,Sudeste,4,IES ES,12,Campus ES 3,46
13134800,Diogo da Rosa,Sudeste,4,IES RJ,13,Campus RJ 3,47
13134801,Brenda Nascimento,Sudeste,4,IES MG,14,Campus MG 3,48
13134802,Dr. Theo Moraes,Sul,5,IES RS,15,Campus RS 3,49
13134803,Heloísa Sales,Sul,5,IES SC,16,Campus SC 3,50
13134804,Noah Moraes,Sul,5,IES PR,17,Campus PR 3,51
13134805,Nicolas Pereira,Norte,1,IES AM,1,Campus AM 4,52
13134806,Lavínia Jesus,Norte,1,IES RR,2,Campus RR 4,53
13134807,Davi Lucca Campos,Norte,1,IES PA,3,Campus PA 4,54
13134808,João da Mata,Nordeste,2,IES BA,4,Campus BA 4,55
13134809,Eloah Martins,Nordeste,2,IES RN,5,Campus RN 4,56
13134810,Juan Correia,Nordeste,2,IES SE,6,Campus SE 4,57
13134811,Larissa Castro,Nordeste,2,IES AL,7,Campus AL 4,58
13134812,Laís Porto,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13134813,Carlos Eduardo Mendes,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13134814,Catarina Mendes,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13134815,Sabrina Silva,Sudeste,4,IES SP,11,Campus SP 4,62
13134816,Arthur Porto,Sudeste,4,IES ES,12,Campus ES 4,63
13134817,Dra. Bárbara Araújo,Sudeste,4,IES RJ,13,Campus RJ 4,64
13134818,Dr. Ian Rezende,Sudeste,4,IES SP,11,Campus SP 1,11
13134819,Dr. Samuel Alves,Sudeste,4,IES ES,12,Campus ES 1,12
13134820,Bianca Gonçalves,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134821,Clarice da Rosa,Sudeste,4,IES MG,14,Campus MG 1,14
13134822,Sra. Ana Luiza Cardoso,Sul,5,IES RS,15,Campus RS 1,15
13134823,Benício Porto,Sul,5,IES SC,16,Campus SC 1,16
13134824,Henrique Jesus,Sul,5,IES PR,17,Campus PR 1,17
13134825,Diogo Rocha,Norte,1,IES AM,1,Campus AM 2,18
13134826,Sr. Pietro da Rocha,Norte,1,IES RR,2,Campus RR 2,19
13134827,Dr. Leandro Almeida,Norte,1,IES PA,3,Campus PA 2,20
13134828,Amanda Farias,Nordeste,2,IES BA,4,Campus BA 2,21
13134829,Antônio Peixoto,Nordeste,2,IES RN,5,Campus RN 2,22
13134830,Beatriz Lima,Nordeste,2,IES SE,6,Campus SE 2,23
13134831,Carlos Eduardo Nascimento,Nordeste,2,IES AL,7,Campus AL 2,24
13134832,Sr. Lorenzo Mendes,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134833,Emanuella Mendes,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134834,Esther Almeida,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134835,Rodrigo das Neves,Sudeste,4,IES SP,11,Campus SP 2,28
13134836,Calebe Duarte,Sudeste,4,IES ES,12,Campus ES 2,29
13134837,Ana Júlia Teixeira,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134838,Davi Lucca Ribeiro,Sudeste,4,IES SP,11,Campus SP 1,11
13134839,Joaquim Araújo,Sudeste,4,IES ES,12,Campus ES 1,12
13134840,Igor Silva,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134841,Daniel Sales,Sudeste,4,IES MG,14,Campus MG 1,14
13134842,Pietro Mendes,Sul,5,IES RS,15,Campus RS 1,15
13134843,Maria Eduarda Cardoso,Sul,5,IES SC,16,Campus SC 1,16
13134844,Srta. Sabrina da Costa,Sul,5,IES PR,17,Campus PR 1,17
13134845,Agatha Barbosa,Norte,1,IES AM,1,Campus AM 2,18
13134846,Bárbara Farias,Norte,1,IES RR,2,Campus RR 2,19
13134847,Isis Teixeira,Norte,1,IES PA,3,Campus PA 2,20
13134848,Ana Sophia Jesus,Nordeste,2,IES BA,4,Campus BA 2,21
13134849,Murilo Ribeiro,Nordeste,2,IES RN,5,Campus RN 2,22
13134850,Enzo da Mata,Nordeste,2,IES SE,6,Campus SE 2,23
13134851,Pietra Costela,Nordeste,2,IES AL,7,Campus AL 2,24
13134852,Fernanda Porto,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134853,Maria Vitória Gomes,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134854,Ana Sophia Moreira,Norte,1,IES AM,1,Campus AM 1,1
13134855,Sophia Viana,Norte,1,IES RR,2,Campus RR 1,2
13134856,Ana Luiza da Mata,Norte,1,IES PA,3,Campus PA 1,3
13134857,João Vitor Araújo,Nordeste,2,IES BA,4,Campus BA 1,4
13134858,Pietro Pinto,Nordeste,2,IES RN,5,Campus RN 1,5
13134859,Emilly Teixeira,Nordeste,2,IES SE,6,Campus SE 1,6
13134860,Eloah Duarte,Nordeste,2,IES AL,7,Campus AL 1,7
13134861,Maria Luiza Santos,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13134862,Bryan Campos,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13134863,Dra. Maria Julia Cardoso,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13134864,Ana Clara Ribeiro,Sudeste,4,IES SP,11,Campus SP 1,11
13134865,Sabrina Moreira,Sudeste,4,IES ES,12,Campus ES 1,12
13134866,João Pedro Lopes,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134867,Fernanda da Mota,Sudeste,4,IES MG,14,Campus MG 1,14
13134868,Leonardo Melo,Sul,5,IES RS,15,Campus RS 1,15
13134869,Srta. Alícia Cardoso,Sul,5,IES SC,16,Campus SC 1,16
13134870,Vitória Barbosa,Sul,5,IES PR,17,Campus PR 1,17
13134871,João Cavalcanti,Norte,1,IES AM,1,Campus AM 2,18
13134872,Ryan Mendes,Norte,1,IES RR,2,Campus RR 2,19
13134873,Kamilly Ramos,Norte,1,IES PA,3,Campus PA 2,20
13134874,Dr. Benjamin Pinto,Nordeste,2,IES BA,4,Campus BA 2,21
13134875,Raul Silva,Nordeste,2,IES RN,5,Campus RN 2,22
13134876,Guilherme Fernandes,Nordeste,2,IES SE,6,Campus SE 2,23
13134877,Sophia Aragão,Nordeste,2,IES AL,7,Campus AL 2,24
13134878,Valentina da Rosa,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134879,Amanda Santos,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134880,Pedro Lucas Pires,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134881,Catarina da Rosa,Sudeste,4,IES SP,11,Campus SP 2,28
13134882,Breno Fogaça,Sudeste,4,IES ES,12,Campus ES 2,29
13134883,Julia Rocha,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134884,Sophie Peixoto,Sudeste,4,IES MG,14,Campus MG 2,31
13134885,Bruno Carvalho,Sul,5,IES RS,15,Campus RS 2,32
13134886,Ana Carolina Lopes,Sul,5,IES SC,16,Campus SC 2,33
13134887,Maria Vitória Oliveira,Sul,5,IES PR,17,Campus PR 2,34
13134888,Francisco Barbosa,Norte,1,IES AM,1,Campus AM 3,35
13134889,Gabrielly Carvalho,Norte,1,IES RR,2,Campus RR 3,36
13134890,Evelyn Martins,Norte,1,IES PA,3,Campus PA 3,37
13134891,Melissa Vieira,Nordeste,2,IES BA,4,Campus BA 3,38
13134892,Laís Castro,Nordeste,2,IES RN,5,Campus RN 3,39
13134893,Lucas Melo,Nordeste,2,IES SE,6,Campus SE 3,40
13134894,Thomas da Mota,Nordeste,2,IES AL,7,Campus AL 3,41
13134895,Danilo da Costa,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13134896,Maria Cecília Jesus,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13134897,Lucas Gabriel da Cruz,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13134898,Cauã Gonçalves,Sudeste,4,IES SP,11,Campus SP 3,45
13134899,João Vitor Castro,Sudeste,4,IES ES,12,Campus ES 3,46
13134900,Guilherme da Mata,Sudeste,4,IES RJ,13,Campus RJ 3,47
13134901,Maria Vitória Rezende,Sudeste,4,IES MG,14,Campus MG 3,48
13134902,Emilly Peixoto,Sul,5,IES RS,15,Campus RS 3,49
13134903,Srta. Lorena Carvalho,Sul,5,IES SC,16,Campus SC 3,50
13134904,Laura da Rocha,Sul,5,IES PR,17,Campus PR 3,51
13134905,Levi da Paz,Norte,1,IES AM,1,Campus AM 4,52
13134906,Sra. Daniela Costa,Norte,1,IES RR,2,Campus RR 4,53
13134907,Heitor Cavalcanti,Norte,1,IES PA,3,Campus PA 4,54
13134908,Agatha Costa,Nordeste,2,IES BA,4,Campus BA 4,55
13134909,Murilo Almeida,Nordeste,2,IES RN,5,Campus RN 4,56
13134910,Gabrielly da Rocha,Nordeste,2,IES SE,6,Campus SE 4,57
13134911,Julia Ramos,Nordeste,2,IES AL,7,Campus AL 4,58
13134912,Stella Rodrigues,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13134913,Evelyn Castro,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13134914,Maria Sophia Costela,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13134915,Vitória Farias,Sudeste,4,IES SP,11,Campus SP 4,62
13134916,Srta. Emilly da Luz,Sudeste,4,IES ES,12,Campus ES 4,63
13134917,Sr. Renan Alves,Sudeste,4,IES RJ,13,Campus RJ 4,64
13134918,Cauã Cardoso,Sudeste,4,IES SP,11,Campus SP 1,11
13134919,Ian Cardoso,Sudeste,4,IES ES,12,Campus ES 1,12
13134920,Lavínia da Rosa,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134921,Enrico Lima,Sudeste,4,IES MG,14,Campus MG 1,14
13134922,Ana Beatriz Gonçalves,Sul,5,IES RS,15,Campus RS 1,15
13134923,Joaquim Araújo,Sul,5,IES SC,16,Campus SC 1,16
13134924,Giovanna Santos,Sul,5,IES PR,17,Campus PR 1,17
13134925,Maria Fernanda Melo,Norte,1,IES AM,1,Campus AM 2,18
13134926,Emanuel Fogaça,Norte,1,IES RR,2,Campus RR 2,19
13134927,Sra. Maria Sophia Farias,Norte,1,IES PA,3,Campus PA 2,20
13134928,Benjamin Rodrigues,Nordeste,2,IES BA,4,Campus BA 2,21
13134929,Vitória Alves,Nordeste,2,IES RN,5,Campus RN 2,22
13134930,Ana Sophia Souza,Nordeste,2,IES SE,6,Campus SE 2,23
13134931,Ana Julia Aragão,Nordeste,2,IES AL,7,Campus AL 2,24
13134932,Eduarda da Cruz,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134933,Júlia da Luz,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134934,Leandro Barbosa,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134935,Dr. Rafael Rocha,Sudeste,4,IES SP,11,Campus SP 2,28
13134936,Luigi Moreira,Sudeste,4,IES ES,12,Campus ES 2,29
13134937,Natália da Rocha,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134938,Rodrigo da Mota,Sudeste,4,IES SP,11,Campus SP 1,11
13134939,Brenda da Mata,Sudeste,4,IES ES,12,Campus ES 1,12
13134940,Otávio Pinto,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134941,Dr. Breno Cardoso,Sudeste,4,IES MG,14,Campus MG 1,14
13134942,Enzo Gabriel da Cunha,Sul,5,IES RS,15,Campus RS 1,15
13134943,Rafaela Teixeira,Sul,5,IES SC,16,Campus SC 1,16
13134944,Breno Duarte,Sul,5,IES PR,17,Campus PR 1,17
13134945,Pedro Henrique Dias,Norte,1,IES AM,1,Campus AM 2,18
13134946,Natália Viana,Norte,1,IES RR,2,Campus RR 2,19
13134947,Carlos Eduardo Rocha,Norte,1,IES PA,3,Campus PA 2,20
13134948,Dra. Emanuelly Santos,Nordeste,2,IES BA,4,Campus BA 2,21
13134949,Marina Martins,Nordeste,2,IES RN,5,Campus RN 2,22
13134950,Leandro Fernandes,Nordeste,2,IES SE,6,Campus SE 2,23
13134951,Caroline da Cruz,Nordeste,2,IES AL,7,Campus AL 2,24
13134952,Luiza Rodrigues,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134953,Augusto Ferreira,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134954,Mariane Farias,Norte,1,IES AM,1,Campus AM 1,1
13134955,Henrique das Neves,Norte,1,IES RR,2,Campus RR 1,2
13134956,Vinicius Porto,Norte,1,IES PA,3,Campus PA 1,3
13134957,Joaquim Silva,Nordeste,2,IES BA,4,Campus BA 1,4
13134958,Nathan Carvalho,Nordeste,2,IES RN,5,Campus RN 1,5
13134959,Paulo Gonçalves,Nordeste,2,IES SE,6,Campus SE 1,6
13134960,João Lucas Nascimento,Nordeste,2,IES AL,7,Campus AL 1,7
13134961,Matheus Moreira,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13134962,Marcelo Teixeira,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13134963,João Lucas Pires,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13134964,Daniel Silveira,Sudeste,4,IES SP,11,Campus SP 1,11
13134965,Maria Fernanda Silva,Sudeste,4,IES ES,12,Campus ES 1,12
13134966,Amanda Araújo,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134967,Ryan Castro,Sudeste,4,IES MG,14,Campus MG 1,14
13134968,Dra. Isis Silva,Sul,5,IES RS,15,Campus RS 1,15
13134969,Bruna Novaes,Sul,5,IES SC,16,Campus SC 1,16
13134970,Bianca Novaes,Sul,5,IES PR,17,Campus PR 1,17
13134971,João Felipe Lopes,Norte,1,IES AM,1,Campus AM 2,18
13134972,Srta. Maria Clara Vieira,Norte,1,IES RR,2,Campus RR 2,19
13134973,Bianca Novaes,Norte,1,IES PA,3,Campus PA 2,20
13134974,Clara Pires,Nordeste,2,IES BA,4,Campus BA 2,21
13134975,Alícia Farias,Nordeste,2,IES RN,5,Campus RN 2,22
13134976,Eloah Carvalho,Nordeste,2,IES SE,6,Campus SE 2,23
13134977,Marcela Duarte,Nordeste,2,IES AL,7,Campus AL 2,24
13134978,Lucas Gabriel Rodrigues,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134979,Srta. Stephany Gonçalves,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134980,Sra. Maria Julia Freitas,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134981,Srta. Kamilly Ramos,Sudeste,4,IES SP,11,Campus SP 2,28
13134982,Rafael Vieira,Sudeste,4,IES ES,12,Campus ES 2,29
13134983,Lívia Nogueira,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134984,Larissa Porto,Sudeste,4,IES MG,14,Campus MG 2,31
13134985,Benjamin da Paz,Sul,5,IES RS,15,Campus RS 2,32
13134986,Maria Alice Moraes,Sul,5,IES SC,16,Campus SC 2,33
13134987,Benjamin Farias,Sul,5,IES PR,17,Campus PR 2,34
13134988,Thiago Gomes,Norte,1,IES AM,1,Campus AM 3,35
13134989,Levi Santos,Norte,1,IES RR,2,Campus RR 3,36
13134990,Sra. Maria Julia Novaes,Norte,1,IES PA,3,Campus PA 3,37
13134991,Dra. Gabrielly Silveira,Nordeste,2,IES BA,4,Campus BA 3,38
13134992,Alícia Cardoso,Nordeste,2,IES RN,5,Campus RN 3,39
13134993,Gabriel Cardoso,Nordeste,2,IES SE,6,Campus SE 3,40
13134994,Luiz Gustavo Cunha,Nordeste,2,IES AL,7,Campus AL 3,41
13134995,Juliana Barbosa,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13134996,Laura Nogueira,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13134997,Ana Lívia Farias,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13134998,João Lucas Pires,Sudeste,4,IES SP,11,Campus SP 3,45
13134999,Enrico Farias,Sudeste,4,IES ES,12,Campus ES 3,46
13135000,Juan Ferreira,Sudeste,4,IES RJ,13,Campus RJ 3,47
13135001,Dr. Anthony Ramos,Sudeste,4,IES MG,14,Campus MG 3,48
13135002,João Guilherme Teixeira,Sul,5,IES RS,15,Campus RS 3,49
13135003,Davi Luiz Pereira,Sul,5,IES SC,16,Campus SC 3,50
13135004,Dra. Eloah Ramos,Sul,5,IES PR,17,Campus PR 3,51
13135005,Sra. Isabella Rocha,Norte,1,IES AM,1,Campus AM 4,52
13135006,Mariane Rezende,Norte,1,IES RR,2,Campus RR 4,53
13135007,Luiz Fernando Barbosa,Norte,1,IES PA,3,Campus PA 4,54
13135008,Julia Pires,Nordeste,2,IES BA,4,Campus BA 4,55
13135009,Olivia Silveira,Nordeste,2,IES RN,5,Campus RN 4,56
13135010,Luiz Miguel das Neves,Nordeste,2,IES SE,6,Campus SE 4,57
13135011,Stephany Porto,Nordeste,2,IES AL,7,Campus AL 4,58
13135012,Agatha Jesus,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13135013,Sra. Ana Laura Pereira,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13135014,Ana Carolina Moreira,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13135015,Felipe Nogueira,Sudeste,4,IES SP,11,Campus SP 4,62
13135016,Isabelly Oliveira,Sudeste,4,IES ES,12,Campus ES 4,63
13135017,Cecília Martins,Sudeste,4,IES RJ,13,Campus RJ 4,64
13135018,João Pedro Dias,Sudeste,4,IES SP,11,Campus SP 1,11
